what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1365538454432
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1365538454443
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1365538454449
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1365538454470
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1365538454482
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1365538454482
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1365538454500
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1365538454501
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1365538454515
started,bundle,CodeAnnotate,1.0.0.201206262304,"CodeAnnotate",1365538454515
os,sysinfo,,,"linux",1365538454517
arch,sysinfo,,,"x86",1365538454517
ws,sysinfo,,,"gtk",1365538454517
locale,sysinfo,,,"en_US",1365538454517
processors,sysinfo,,,"4",1365538454517
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1365538454517
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1365538454517
java.specification.name,sysinfo,,,"Java Platform API Specification",1365538454517
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365538454517
java.specification.version,sysinfo,,,"1.6",1365538454517
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1365538454517
java.version,sysinfo,,,"1.6.0_24",1365538454517
java.vm.info,sysinfo,,,"mixed mode, sharing",1365538454517
java.vm.name,sysinfo,,,"OpenJDK Client VM",1365538454517
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365538454517
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365538454517
java.vm.specification.version,sysinfo,,,"1.0",1365538454517
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1365538454517
java.vm.version,sysinfo,,,"20.0-b12",1365538454517
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1365538458410
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1365538458412
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1365538459162
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1365538459864
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1365538459865
